fips,county_name,state,population,land_area_sq_mi,population_density_per_sq_mi
01001,Autauga County,AL,61920,594.46,104.16
01003,Baldwin County,AL,267761,1589.94,168.41
01005,Barbour County,AL,24607,885.01,27.8
01007,Bibb County,AL,22262,622.47,35.76
01009,Blount County,AL,60156,644.9,93.28
01011,Bullock County,AL,9780,622.82,15.7
01013,Butler County,AL,18100,776.84,23.3
01015,Calhoun County,AL,115834,605.89,191.18
01017,Chambers County,AL,34253,596.56,57.42
01019,Cherokee County,AL,26413,553.62,47.71
01021,Chilton County,AL,47708,692.84,68.86
01023,Choctaw County,AL,11904,913.48,13.03
01025,Clarke County,AL,22014,1238.42,17.78
01027,Clay County,AL,14207,603.96,23.52
01029,Cleburne County,AL,15970,560.13,28.51
01031,Coffee County,AL,56953,679.07,83.87
01033,Colbert County,AL,59474,592.95,100.3
01035,Conecuh County,AL,10899,850.28,12.82
01037,Coosa County,AL,10161,650.91,15.61
01039,Covington County,AL,37947,1030.57,36.82
01041,Crenshaw County,AL,13175,608.87,21.64
01043,Cullman County,AL,94009,734.75,127.95
01045,Dale County,AL,49912,561.11,88.95
01047,Dallas County,AL,35140,978.74,35.9
01049,DeKalb County,AL,74085,777.08,95.34
01051,Elmore County,AL,91577,618.52,148.06
01053,Escambia County,AL,36665,945.41,38.78
01055,Etowah County,AL,103886,535.14,194.13
01057,Fayette County,AL,15872,627.68,25.29
01059,Franklin County,AL,32449,633.96,51.18
01061,Geneva County,AL,27554,574.49,47.96
01063,Greene County,AL,7067,647.02,10.92
01065,Hale County,AL,15194,643.99,23.59
01067,Henry County,AL,18394,561.93,32.73
01069,Houston County,AL,110318,579.83,190.26
01071,Jackson County,AL,54281,1078.01,50.35
01073,Jefferson County,AL,665742,1111.57,598.92
01075,Lamar County,AL,13587,604.78,22.47
01077,Lauderdale County,AL,97135,668.05,145.4
01079,Lawrence County,AL,33843,690.68,49.0
01081,Lee County,AL,189881,607.56,312.53
01083,Limestone County,AL,122928,563.4,218.19
01085,Lowndes County,AL,9359,716.09,13.07
01087,Macon County,AL,18132,608.66,29.79
01089,Madison County,AL,433516,801.62,540.8
01091,Marengo County,AL,18311,976.9,18.74
01093,Marion County,AL,29097,742.34,39.2
01095,Marshall County,AL,103537,565.85,182.97
01097,Mobile County,AL,411658,1229.38,334.85
01099,Monroe County,AL,18965,1025.67,18.49
01101,Montgomery County,AL,225891,785.36,287.63
01103,Morgan County,AL,126483,579.68,218.2
01105,Perry County,AL,7425,719.67,10.32
01107,Pickens County,AL,18221,881.39,20.67
01109,Pike County,AL,33688,672.07,50.13
01111,Randolph County,AL,23163,580.55,39.9
01113,Russell County,AL,58898,641.18,91.86
01115,St. Clair County,AL,98206,631.61,155.49
01117,Shelby County,AL,238552,785.46,303.71
01119,Sumter County,AL,11588,903.83,12.82
01121,Talladega County,AL,81603,736.82,110.75
01123,Tallapoosa County,AL,40953,716.54,57.15
01125,Tuscaloosa County,AL,241368,1320.86,182.74
01127,Walker County,AL,65140,791.06,82.35
01129,Washington County,AL,14822,1080.26,13.72
01131,Wilcox County,AL,9666,887.86,10.89
01133,Winston County,AL,23829,613.0,38.87
02013,Aleutians East Borough,AK,3479,6985.38,0.5
02016,Aleutians West Census Area,AK,5240,4387.37,1.19
02020,Anchorage Municipality,AK,287155,1706.8,168.24
02050,Bethel Census Area,AK,18391,40654.88,0.45
02060,Bristol Bay Borough,AK,847,481.38,1.76
02063,Chugach Census Area,AK,6553,9574.35,0.68
02066,Copper River Census Area,AK,2666,24647.36,0.11
02068,Denali Borough,AK,1616,12639.75,0.13
02070,Dillingham Census Area,AK,4483,18353.19,0.24
02090,Fairbanks North Star Borough,AK,93972,7334.99,12.81
02100,Haines Borough,AK,2068,2334.93,0.89
02105,Hoonah-Angoon Census Area,AK,2271,6559.73,0.35
02110,Juneau City and Borough,AK,31609,2702.92,11.69
02122,Kenai Peninsula Borough,AK,61951,16017.65,3.87
02130,Ketchikan Gateway Borough,AK,13549,4857.09,2.79
